path_name
k_ro2_A_demo
index,relative_x,relative_y,absolute_x,absolute_y
0,0,0,24024.43,2623.533
1,-32.35547,-38.10352,23992.07,2585.43
2,-54.33594,-19.42334,23970.09,2604.11
3,-21.98828,18.67627,24002.44,2642.21
4,0.0,0.0,24024.43,2623.533
22
index,relative_x,relative_y,absolute_x,absolute_y,none,none,path_type
0,24004.53,2630.922,-19.89844,7.388672,0.0,0.0,0
1,23981.56,2603.875,-42.86523,-19.65796,0.0,0.0,0
2,23981.56,2603.875,-42.86523,-19.65796,0.0,0.0,1
3,23983.32,2602.386,-41.11133,-21.14722,0.0,0.0,1
4,23983.32,2602.386,-41.11133,-21.14722,0.0,0.0,0
5,24006.28,2629.433,-18.14453,5.899658,0.0,0.0,0
6,24006.28,2629.433,-18.14453,5.899658,0.0,0.0,1
7,24008.04,2627.944,-16.39258,4.410645,0.0,0.0,1
8,24008.04,2627.944,-16.39258,4.410645,0.0,0.0,0
9,23985.07,2600.897,-39.35938,-22.63672,0.0,0.0,0
10,23985.07,2600.897,-39.35938,-22.63672,0.0,0.0,1
11,23986.82,2599.407,-37.60742,-24.12622,0.0,0.0,1
12,23986.82,2599.407,-37.60742,-24.12622,0.0,0.0,0
13,24009.79,2626.455,-14.63867,2.921875,0.0,0.0,0
14,24009.79,2626.455,-14.63867,2.921875,0.0,0.0,1
15,24011.54,2624.966,-12.88672,1.432861,0.0,0.0,1
16,24011.54,2624.966,-12.88672,1.432861,0.0,0.0,0
17,23988.57,2597.918,-35.85352,-25.61572,0.0,0.0,0
18,23988.57,2597.918,-35.85352,-25.61572,0.0,0.0,1
19,23990.33,2596.428,-34.10156,-27.10498,0.0,0.0,1
20,23990.33,2596.428,-34.10156,-27.10498,0.0,0.0,0
21,24013.23,2623.401,-11.19922,-0.1323242,0.0,0.0,0
